ID,Item,FailureMode,Effect,Severity,Occurrence,Detection,RPN,ActionPriority,File,Line
FMEA-598,Edge,State corruption in Edge(),Incorrect system behaviour or safety-function failure originating in Edge (class),8,4,5,160,high,src/boundary/boundary.hpp,18
FMEA-859,parse_level,Buffer overflow in parse_level(),Incorrect system behaviour or safety-function failure originating in parse_level (function),8,4,5,160,high,src/slsa/slsa.cpp,16
FMEA-359,is_source,Buffer overflow in is_source(),Incorrect system behaviour or safety-function failure originating in is_source (function),8,4,5,160,high,src/cyber/cyber.cpp,36
FMEA-938,PRLog,State corruption in PRLog(),Incorrect system behaviour or safety-function failure originating in PRLog (class),8,4,5,160,high,src/pr/pr.hpp,30
FMEA-1455,make_hara002,Buffer overflow in make_hara002(),Incorrect system behaviour or safety-function failure originating in make_hara002 (function),8,4,5,160,high,src/engine/rules.cpp,243
FMEA-958,GSNNode,State corruption in GSNNode(),Incorrect system behaviour or safety-function failure originating in GSNNode (class),8,4,5,160,high,src/safety_case/safety_case.hpp,20
FMEA-1115,fn_body_visitor,Buffer overflow in fn_body_visitor(),Incorrect system behaviour or safety-function failure originating in fn_body_visitor (function),8,4,5,160,high,src/ast/ast.cpp,198
FMEA-354,Rule,State corruption in Rule(),Incorrect system behaviour or safety-function failure originating in Rule (class),8,4,5,160,high,src/cyber/cyber.cpp,18
FMEA-602,Diagram,State corruption in Diagram(),Incorrect system behaviour or safety-function failure originating in Diagram (class),8,4,5,160,high,src/boundary/boundary.hpp,24
FMEA-1159,write_json,Buffer overflow in write_json(),Incorrect system behaviour or safety-function failure originating in write_json (function),8,4,5,160,high,src/coupling/coupling.hpp,33
FMEA-351,run,Buffer overflow in run(),Incorrect system behaviour or safety-function failure originating in run (function),8,4,5,160,high,src/cyber/cyber.hpp,56
FMEA-1459,make_hara003,Buffer overflow in make_hara003(),Incorrect system behaviour or safety-function failure originating in make_hara003 (function),8,4,5,160,high,src/engine/rules.cpp,275
FMEA-1307,feasibility_rank,Buffer overflow in feasibility_rank(),Incorrect system behaviour or safety-function failure originating in feasibility_rank (function),8,4,5,160,high,src/tara/tara.cpp,26
FMEA-607,write_mermaid,Buffer overflow in write_mermaid(),Incorrect system behaviour or safety-function failure originating in write_mermaid (function),8,4,5,160,high,src/boundary/boundary.hpp,30
FMEA-346,CyberReport,State corruption in CyberReport(),Incorrect system behaviour or safety-function failure originating in CyberReport (class),8,4,5,160,high,src/cyber/cyber.hpp,47
FMEA-1463,make_hara004,Buffer overflow in make_hara004(),Incorrect system behaviour or safety-function failure originating in make_hara004 (function),8,4,5,160,high,src/engine/rules.cpp,304
FMEA-943,add,Buffer overflow in add(),Incorrect system behaviour or safety-function failure originating in add (function),8,4,5,160,high,src/pr/pr.hpp,37
FMEA-342,CyberFinding,State corruption in CyberFinding(),Incorrect system behaviour or safety-function failure originating in CyberFinding (class),8,4,5,160,high,src/cyber/cyber.hpp,37
FMEA-855,render_text,Buffer overflow in render_text(),Incorrect system behaviour or safety-function failure originating in render_text (function),8,4,5,160,high,src/comp/comp.hpp,41
FMEA-842,FunctionResult,State corruption in FunctionResult(),Incorrect system behaviour or safety-function failure originating in FunctionResult (class),8,4,5,160,high,src/comp/comp.hpp,17
FMEA-1511,build_from_lcov,Buffer overflow in build_from_lcov(),Incorrect system behaviour or safety-function failure originating in build_from_lcov (function),8,4,5,160,high,src/coverage/coverage.cpp,59
FMEA-1283,parse_sil,Buffer overflow in parse_sil(),Incorrect system behaviour or safety-function failure originating in parse_sil (function),8,4,5,160,high,src/iec61508/iec61508.cpp,15
FMEA-263,version_less,Buffer overflow in version_less(),Incorrect system behaviour or safety-function failure originating in version_less (function),8,4,5,160,high,src/vuln/vuln.cpp,48
